  1.000, 13.608, 14.420, 14.706, 14.852, 14.940, 14.999, 15.042, 15.074, 15.099, 98.762, 91.212, 84.915, 79.583, 75.009, 71.043, 67.571
 13.608,  1.000, 75.533, 84.696, 89.340, 92.147, 94.027, 95.374, 96.387, 97.176, 97.808, 98.325, 98.757, 99.123, 99.436, 99.708, 99.946
 14.420, 75.533,  1.000, 95.672, 98.294, 99.878, 96.551, 97.933, 98.972, 99.781, 97.787, 98.558, 99.200, 99.744, 98.320, 98.850, 99.314
 14.706, 84.696, 95.672,  1.000, 96.979, 99.013, 97.423, 98.817, 99.865, 98.708, 99.558, 98.638, 99.353, 99.959, 99.206, 99.741, 99.096
 14.852, 89.340, 98.294, 96.979,  1.000, 98.574, 97.865, 99.265, 98.646, 99.651, 99.116, 99.897, 99.431, 99.036, 99.655, 99.298, 99.824
 14.940, 92.147, 99.878, 99.013, 98.574,  1.000, 99.916, 99.536, 99.250, 99.028, 99.924, 99.680, 99.477, 99.306, 99.927, 99.748, 99.592
 14.999, 94.027, 96.551, 97.423, 97.865, 99.916,  1.000, 99.717, 99.655, 99.606, 99.567, 99.535, 99.509, 99.486, 99.467, 99.450, 99.997
 15.042, 95.374, 97.933, 98.817, 99.265, 99.536, 99.717,  1.000, 99.945, 99.166, 99.312, 99.432, 99.531, 99.616, 99.688, 99.751, 99.806
 15.074, 96.387, 98.972, 99.865, 98.646, 99.250, 99.655, 99.945,  1.000, 99.584, 99.794, 99.967, 99.548, 99.713, 99.855, 99.977, 99.662
 15.099, 97.176, 99.781, 98.708, 99.651, 99.028, 99.606, 99.166, 99.584,  1.000, 99.570, 99.838, 99.561, 99.789, 99.984, 99.753, 99.926
 98.762, 97.808, 97.787, 99.558, 99.116, 99.924, 99.567, 99.312, 99.794, 99.570,  1.000, 99.735, 99.572, 99.850, 99.702, 99.934, 99.799
 91.212, 98.325, 98.558, 98.638, 99.897, 99.680, 99.535, 99.432, 99.967, 99.838, 99.735,  1.000, 99.990, 99.900, 99.822, 99.754, 99.695
 84.915, 98.757, 99.200, 99.353, 99.431, 99.477, 99.509, 99.531, 99.548, 99.561, 99.572, 99.990,  1.000, 99.941, 99.922, 99.905, 99.890
 79.583, 99.123, 99.744, 99.959, 99.036, 99.306, 99.486, 99.616, 99.713, 99.789, 99.850, 99.900, 99.941,  1.000, 99.709, 99.755, 99.795
 75.009, 99.436, 98.320, 99.206, 99.655, 99.927, 99.467, 99.688, 99.855, 99.984, 99.702, 99.822, 99.922, 99.709,  1.000, 99.884, 99.955
 71.043, 99.708, 98.850, 99.741, 99.298, 99.748, 99.450, 99.751, 99.977, 99.753, 99.934, 99.754, 99.905, 99.755, 99.884,  1.000, 99.868
 67.571, 99.946, 99.314, 99.096, 99.824, 99.592, 99.997, 99.806, 99.662, 99.926, 99.799, 99.695, 99.890, 99.795, 99.955, 99.868,  1.000
